,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality,wbEconomy,wbCode,wbRegion,wbIncome_group,wbLending category,wbOther (EMU or HIPC)
5222,IDN,Asia,Indonesia,2021-07-06,2345018.0,31189.0,26936.142999999996,61868.0,728.0,549.143,8573.366,114.027,98.478,226.18900000000002,2.662,2.008,,,,,,,,,,136765.0,13953947.0,51.016000000000005,0.5,104013.0,0.38,0.259,3.9,people tested,47444009.0,33176029.0,14267980.0,1105807.0,771930.0,17.35,12.13,5.22,2822.0,,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,342.86400000000003,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,Indonesia,IDN,East Asia & Pacific,3_Lower middle income,IBRD,
5336,IRL,Europe,Ireland,2021-07-06,275038.0,397.0,443.85699999999997,5000.0,0.0,1.571,55700.56,80.4,89.89,1012.5980000000001,0.0,0.318,,,,,,,,,,,,,,,,,,,4486999.0,2685624.0,1873441.0,63841.0,53974.0,90.87,54.39,37.94,10931.0,,4937796.0,69.874,38.7,13.927999999999999,8.677999999999999,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.955,,Ireland,IRL,Europe & Central Asia,1_High income,,EMU
5448,IMN,Europe,Isle of Man,2021-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111316.0,63621.0,47695.0,755.0,902.0,130.91,74.82,56.09,10608.0,,85032.0,147.872,,,,,,,,,,,,81.4,,,Isle of Man,IMN,Europe & Central Asia,1_High income,,
5633,ISR,Asia,Israel,2021-07-06,843892.0,427.0,343.714,6429.0,0.0,0.0,97497.314,49.333,39.71,742.7610000000001,0.0,0.0,,17.0,1.964,95.0,10.975999999999999,,,,,,,,,,,,,,10864928.0,5681012.0,5183916.0,20848.0,16454.0,125.53,65.63,59.89,1901.0,,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,,Israel,ISR,Middle East & North Africa,1_High income,,
5818,ITA,Europe,Italy,2021-07-06,4264704.0,907.0,795.857,127704.0,24.0,23.143,70535.479,15.001,13.163,2112.143,0.397,0.38299999999999995,,,,,,,,,,,,,,,,,,,54209463.0,34584758.0,20879669.0,519776.0,519727.0,89.66,57.2,34.53,8596.0,,60461828.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.15100000000001,4.78,19.8,27.8,,3.18,83.51,0.892,,Italy,ITA,Europe & Central Asia,1_High income,,EMU
5934,JPN,Asia,Japan,2021-07-06,809909.0,1689.0,1632.0,14834.0,22.0,20.714000000000002,6403.634,13.354000000000001,12.904000000000002,117.287,0.174,0.16399999999999998,,,,,,,,,,,,,,,,,,,52643860.0,33507141.0,19136719.0,814899.0,944478.0,41.62,26.49,15.13,7468.0,,126476458.0,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,,Japan,JPN,East Asia & Pacific,1_High income,,
5972,JOR,Asia,Jordan,2021-07-06,754281.0,505.0,485.0,9795.0,10.0,7.428999999999999,73926.36,49.495,47.534,959.9989999999999,0.98,0.728,,,,,,,,,,,,,,,,,,,4116064.0,2571571.0,1544493.0,62340.0,50465.0,40.34,25.2,15.14,4946.0,,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.7290000000000001,,Jordan,JOR,Middle East & North Africa,2_Upper middle income,IBRD,
6040,KAZ,Asia,Kazakhstan,2021-07-06,499755.0,2747.0,2799.0,3550.0,4.0,3.286,26615.689,146.298,149.06799999999998,189.06400000000002,0.213,0.175,,,,,,,,,,,,,,,,,,,6058585.0,3843678.0,2214907.0,96754.0,122488.0,32.27,20.47,11.8,6523.0,,18776707.0,6.681,30.6,6.9910000000000005,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,,Kazakhstan,KAZ,Europe & Central Asia,2_Upper middle income,IBRD,
6131,LAO,Asia,Laos,2021-07-06,2356.0,56.0,35.143,3.0,0.0,0.0,323.824,7.697,4.83,0.41200000000000003,0.0,0.0,,,,,,,,,,1559.0,305013.0,41.923,0.214,1458.0,0.2,0.024,41.5,people tested,1552182.0,956535.0,595647.0,14671.0,16693.0,21.33,13.15,8.19,2294.0,,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.613,,Lao PDR,LAO,East Asia & Pacific,3_Lower middle income,IDA,
6312,LVA,Europe,Latvia,2021-07-06,137699.0,46.0,52.857,2531.0,3.0,3.286,73003.31599999999,24.388,28.023000000000003,1341.85,1.59,1.742,,,,,,,,,,8803.0,2900408.0,1537.6970000000001,4.667,7726.0,4.096,0.006999999999999999,146.2,tests performed,1200912.0,680767.0,587107.0,8378.0,9195.0,63.67,36.09,31.13,4875.0,,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866,,Latvia,LVA,Europe & Central Asia,1_High income,,EMU
